brand,model,year_start,year_end
BMW,1 Series,1995,2024
BMW,2 Series,1995,2024
BMW,3 Series,1995,2024
BMW,4 Series,1995,2024
BMW,5 Series,1995,2024
BMW,7 Series,1995,2024
BMW,X1,1995,2024
BMW,X3,1995,2024
BMW,X5,1995,2024
BMW,X6,1995,2024
Mercedes-Benz,A-Class,1995,2024
Mercedes-Benz,C-Class,1995,2024
Mercedes-Benz,E-Class,1995,2024
Mercedes-Benz,S-Class,1995,2024
Mercedes-Benz,GLA,1995,2024
Mercedes-Benz,GLC,1995,2024
Mercedes-Benz,GLE,1995,2024
Mercedes-Benz,GLS,1995,2024
Audi,A3,1995,2024
Audi,A4,1995,2024
Audi,A6,1995,2024
Audi,A8,1995,2024
Audi,Q3,1995,2024
Audi,Q5,1995,2024
Audi,Q7,1995,2024
Audi,Q8,1995,2024
Toyota,Corolla,1995,2024
Toyota,Camry,1995,2024
Toyota,RAV4,1995,2024
Toyota,Land Cruiser,1995,2024
Toyota,Prado,1995,2024
Toyota,Hilux,1995,2024
Toyota,Highlander,1995,2024
Volkswagen,Golf,1995,2024
Volkswagen,Passat,1995,2024
Volkswagen,Tiguan,1995,2024
Volkswagen,Touareg,1995,2024
Volkswagen,Polo,1995,2024
Volkswagen,Jetta,1995,2024
Ford,Focus,1995,2024
Ford,Mondeo,1995,2024
Ford,Mustang,1995,2024
Ford,Explorer,1995,2024
Ford,F-150,1995,2024
Honda,Civic,1995,2024
Honda,Accord,1995,2024
Honda,CR-V,1995,2024
Honda,Pilot,1995,2024
Hyundai,Solaris,1995,2024
Hyundai,Elantra,1995,2024
Hyundai,Tucson,1995,2024
Hyundai,Santa Fe,1995,2024
Kia,Rio,1995,2024
Kia,Ceed,1995,2024
Kia,Sportage,1995,2024
Kia,Sorento,1995,2024
Nissan,Qashqai,1995,2024
Nissan,X-Trail,1995,2024
Nissan,Patrol,1995,2024
Nissan,Teana,1995,2024
Lexus,RX,1995,2024
Lexus,NX,1995,2024
Lexus,LX,1995,2024
Lexus,ES,1995,2024
Porsche,Cayenne,1995,2024
Porsche,Macan,1995,2024
Porsche,Panamera,1995,2024
Porsche,911,1995,2024
Tesla,Model S,1995,2024
Tesla,Model 3,1995,2024
Tesla,Model X,1995,2024
Tesla,Model Y,1995,2024
Mazda,3,1995,2024
Mazda,6,1995,2024
Mazda,CX-5,1995,2024
Mazda,CX-9,1995,2024
Chevrolet,Cruze,1995,2024
Chevrolet,Camaro,1995,2024
Chevrolet,Tahoe,1995,2024
Chevrolet,Suburban,1995,2024
Skoda,Octavia,1995,2024
Skoda,Superb,1995,2024
Skoda,Kodiaq,1995,2024
Skoda,Rapid,1995,2024
Volvo,XC40,1995,2024
Volvo,XC60,1995,2024
Volvo,XC90,1995,2024
Volvo,S60,1995,2024
Volvo,S90,1995,2024
